,genes,Approved symbol,all_symbols,Previous symbols,Alias symbols,cce_genes_symbols,symbol_updated,CCE_symbol,Hugo_symbol,Previous_symbol,pathway_genes_cce,pathway_genes_hugo,duplicated,Final_symbol
777,100130426,,,,,,,100130426,,,,,False,100130426
778,100133144,,,,,,,100133144,,,,,False,100133144
779,100134869,,,,,,,100134869,,,,,False,100134869
780,10357,,,,,,,10357,,,,,False,10357
781,10431,,,,,,,10431,,,,,False,10431
782,136542,,,,,,,136542,,,,,False,136542
783,155060,,,,,,,155060,,,,,False,155060
784,26823,,,,,,,26823,,,,,False,26823
785,280660,,,,,,,280660,,,,,False,280660
786,317712,,,,,,,317712,,,,,False,317712
787,340602,,,,,,,340602,,,,,False,340602
788,388795,,,,,,,388795,,,,,False,388795
789,390284,,,,,,,390284,,,,,False,390284
790,391343,,,,,,,391343,,,,,False,391343
791,391714,,,,,,,391714,,,,,False,391714
792,404770,,,,,,,404770,,,,,False,404770
793,441362,,,,,,,441362,,,,,False,441362
794,442388,,,,,,,442388,,,,,False,442388
795,553137,,,,,,,553137,,,,,False,553137
796,57714,,,,,,,57714,,,,,False,57714
797,645851,,,,,,,645851,,,,,False,645851
798,652919,,,,,,,652919,,,,,False,652919
799,653553,,,,,,,653553,,,,,False,653553
800,728045,,,,,,,728045,,,,,False,728045
801,728603,,,,,,,728603,,,,,False,728603
802,728788,,,,,,,728788,,,,,False,728788
803,729884,,,,,,,729884,,,,,False,729884
804,8225,,,,,,,8225,,,,,False,8225
805,90288,,,,,,,90288,,,,,False,90288
806,A1BG,A1BG,"A1BG, NA, NA",NA,NA,A1BG,False,A1BG,A1BG,,A1BG,A1BG,False,A1BG
0,A1CF,A1CF,"A1CF, NA, ACF, ASP, ACF64, ACF65, APOBEC1CF",NA,"ACF, ASP, ACF64, ACF65, APOBEC1CF",A1CF,False,A1CF,A1CF,,A1CF,A1CF,False,A1CF
807,A2BP1,RBFOX1,"RBFOX1, NA, A2BP1, FOX-1, HRNBP1",NA,"A2BP1, FOX-1, HRNBP1",A2BP1,True,A2BP1,RBFOX1,A2BP1,,RBFOX1,False,RBFOX1
808,A2LD1,GGACT,"GGACT, A2LD1, NA",A2LD1,NA,A2LD1,True,A2LD1,GGACT,A2LD1,,,False,A2LD1
809,A2M,A2M,"A2M, NA, FWP007, S863-7, CPAMD5",NA,"FWP007, S863-7, CPAMD5",A2M,False,A2M,A2M,,A2M,A2M,False,A2M
810,A2ML1,A2ML1,"A2ML1, CPAMD9, FLJ25179, p170",CPAMD9,"FLJ25179, p170",A2ML1,False,A2ML1,A2ML1,,,,False,A2ML1
811,A4GALT,A4GALT,"A4GALT, P1, A14GALT, Gb3S, P(k)",P1,"A14GALT, Gb3S, P(k)",A4GALT,False,A4GALT,A4GALT,,,,False,A4GALT
812,A4GNT,A4GNT,"A4GNT, NA, alpha4GnT",NA,alpha4GnT,A4GNT,False,A4GNT,A4GNT,,A4GNT,A4GNT,False,A4GNT
813,AAA1,,,,,,,AAA1,,,,,False,AAA1
814,AAAS,AAAS,"AAAS, NA, NA",NA,NA,AAAS,False,AAAS,AAAS,,AAAS,AAAS,False,AAAS
815,AACS,AACS,"AACS, NA, FLJ12389, SUR-5, ACSF1",NA,"FLJ12389, SUR-5, ACSF1",AACS,False,AACS,AACS,,AACS,AACS,False,AACS
816,AACSL,,,,,,,AACSL,,,,,False,AACSL
817,AADAC,AADAC,"AADAC, NA, DAC, CES5A1",NA,"DAC, CES5A1",AADAC,False,AADAC,AADAC,,AADAC,AADAC,False,AADAC
818,AADACL2,AADACL2,"AADACL2, NA, MGC72001",NA,MGC72001,AADACL2,False,AADACL2,AADACL2,,,,False,AADACL2
819,AADACL3,AADACL3,"AADACL3, NA, OTTHUMG00000001887",NA,OTTHUMG00000001887,AADACL3,False,AADACL3,AADACL3,,,,False,AADACL3
820,AADACL4,AADACL4,"AADACL4, NA, OTTHUMG00000001889",NA,OTTHUMG00000001889,AADACL4,False,AADACL4,AADACL4,,,,False,AADACL4
821,AADAT,AADAT,"AADAT, NA, KATII, KAT2, KYAT2",NA,"KATII, KAT2, KYAT2",AADAT,False,AADAT,AADAT,,AADAT,AADAT,False,AADAT
822,AAGAB,AAGAB,"AAGAB, NA, FLJ11506, p34",NA,"FLJ11506, p34",AAGAB,False,AAGAB,AAGAB,,,,False,AAGAB
823,AAK1,AAK1,"AAK1, NA, KIAA1048, DKFZp686K16132",NA,"KIAA1048, DKFZp686K16132",AAK1,False,AAK1,AAK1,,AAK1,AAK1,False,AAK1
824,AAMP,AAMP,"AAMP, NA, NA",NA,NA,AAMP,False,AAMP,AAMP,,AAMP,AAMP,False,AAMP
825,AANAT,AANAT,"AANAT, NA, SNAT",NA,SNAT,AANAT,False,AANAT,AANAT,,AANAT,AANAT,False,AANAT
826,AARS,AARS1,"AARS1, AARS, CMT2N, AlaRS",AARS,"CMT2N, AlaRS",AARS,True,AARS,AARS1,AARS,,AARS1,False,AARS1
827,AARS2,AARS2,"AARS2, AARSL, KIAA1270, bA444E17.1",AARSL,"KIAA1270, bA444E17.1",AARS2,False,AARS2,AARS2,,AARS2,AARS2,False,AARS2
828,AARSD1,AARSD1,"AARSD1, NA, MGC2744, AlaXp",NA,"MGC2744, AlaXp",AARSD1,False,AARSD1,AARSD1,,,,False,AARSD1
829,AASDH,AASDH,"AASDH, NA, NRPS998, LYS2, ACSF4",NA,"NRPS998, LYS2, ACSF4",AASDH,False,AASDH,AASDH,,,,False,AASDH
830,AASDHPPT,AASDHPPT,"AASDHPPT, NA, LYS5, CGI-80, AASD-PPT, ACPS",NA,"LYS5, CGI-80, AASD-PPT, ACPS",AASDHPPT,False,AASDHPPT,AASDHPPT,,AASDHPPT,AASDHPPT,False,AASDHPPT
831,AASS,AASS,"AASS, NA, LORSDH, LKRSDH",NA,"LORSDH, LKRSDH",AASS,False,AASS,AASS,,AASS,AASS,False,AASS
832,AATF,AATF,"AATF, NA, DED, CHE-1, CHE1, BFR2",NA,"DED, CHE-1, CHE1, BFR2",AATF,False,AATF,AATF,,AATF,AATF,False,AATF
833,AATK,AATK,"AATK, NA, AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77",NA,"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77",AATK,False,AATK,AATK,,,,False,AATK
834,ABAT,ABAT,"ABAT, NA, GABAT, GABA-T",NA,"GABAT, GABA-T",ABAT,False,ABAT,ABAT,,ABAT,ABAT,False,ABAT
836,ABCA1,ABCA1,"ABCA1, ABC1, HDLDT1, TGD","ABC1, HDLDT1",TGD,ABCA1,False,ABCA1,ABCA1,,ABCA1,ABCA1,False,ABCA1
835,ABCA10,ABCA10,"ABCA10, NA, EST698739",NA,EST698739,ABCA10,False,ABCA10,ABCA10,,ABCA10,ABCA10,False,ABCA10
837,ABCA11P,,,,,,,ABCA11P,,,,,False,ABCA11P
838,ABCA12,ABCA12,"ABCA12, ICR2B, DKFZP434G232, LI2",ICR2B,"DKFZP434G232, LI2",ABCA12,False,ABCA12,ABCA12,,ABCA12,ABCA12,False,ABCA12
839,ABCA13,ABCA13,"ABCA13, NA, FLJ33876, FLJ33951",NA,"FLJ33876, FLJ33951",ABCA13,False,ABCA13,ABCA13,,ABCA13,ABCA13,False,ABCA13
840,ABCA17P,,,,,,,ABCA17P,,,,,False,ABCA17P
841,ABCA2,ABCA2,"ABCA2, ABC2, NA",ABC2,NA,ABCA2,False,ABCA2,ABCA2,,ABCA2,ABCA2,False,ABCA2
842,ABCA3,ABCA3,"ABCA3, ABC3, ABC-C, EST111653, LBM180",ABC3,"ABC-C, EST111653, LBM180",ABCA3,False,ABCA3,ABCA3,,ABCA3,ABCA3,False,ABCA3
843,ABCA4,ABCA4,"ABCA4, STGD1, ABCR, RP19, STGD, FFM, ARMD2, CORD3","STGD1, ABCR, RP19, STGD","FFM, ARMD2, CORD3",ABCA4,False,ABCA4,ABCA4,,ABCA4,ABCA4,False,ABCA4
844,ABCA5,ABCA5,"ABCA5, NA, EST90625",NA,EST90625,ABCA5,False,ABCA5,ABCA5,,ABCA5,ABCA5,False,ABCA5
845,ABCA6,ABCA6,"ABCA6, NA, EST155051",NA,EST155051,ABCA6,False,ABCA6,ABCA6,,ABCA6,ABCA6,False,ABCA6
846,ABCA7,ABCA7,"ABCA7, NA, ABCX",NA,ABCX,ABCA7,False,ABCA7,ABCA7,,ABCA7,ABCA7,False,ABCA7
847,ABCA8,ABCA8,"ABCA8, NA, KIAA0822",NA,KIAA0822,ABCA8,False,ABCA8,ABCA8,,ABCA8,ABCA8,False,ABCA8
